City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hergla,36.03,10.51,57.2,66,70,5.82,TN,1602652776
Petropavlovsk-Kamchatskiy,53.05,158.65,50.0,100,90,13.42,RU,1602652777
Tabou,4.42,-7.35,75.65,89,52,3.74,CI,1602652777
Mossamedes,-15.2,12.15,62.19,86,19,2.71,AO,1602652777
College,64.86,-147.8,24.8,53,20,9.17,US,1602652777
Sakakah,29.97,40.21,68.0,19,35,4.7,SA,1602652777
Egvekinot,66.32,-179.17,22.77,90,60,1.5,RU,1602652778
Orchard Homes,46.86,-114.05,48.2,61,90,32.21,US,1602652778
Calama,-22.47,-68.93,48.2,14,5,10.29,CL,1602652778
Saint-Augustin,51.23,-58.65,37.08,86,44,6.33,CA,1602652778
Massakory,13.0,15.73,84.09,48,1,5.61,TD,1602652778
Husavik,66.04,-17.34,48.2,66,100,18.34,IS,1602652779
Oyem,1.6,11.58,67.68,99,100,1.9,GA,1602652779
Maşyāf,35.07,36.34,71.6,73,75,3.36,SY,1602652779
Andros Town,24.7,-77.77,80.6,83,40,8.05,BS,1602652779
San Cristobal,7.77,-72.22,64.76,82,90,1.92,VE,1602652780
Puerto Escondido,15.85,-97.07,80.1,73,100,5.1,MX,1602652780
Batemans Bay,-35.72,150.18,62.01,83,98,1.99,AU,1602652766
Pringsewu,-5.36,104.97,92.21,49,79,1.61,ID,1602652780
Kathu,7.92,98.33,86.0,79,20,16.11,TH,1602652780
Scottsbluff,41.87,-103.67,68.0,23,1,9.17,US,1602652613
Kalmunai,7.42,81.82,88.79,48,100,1.77,LK,1602652781
Tiruchirappalli,10.82,78.68,87.8,55,20,11.41,IN,1602652782
Pāvilosta,56.89,21.19,48.2,81,97,16.11,LV,1602652782
Jammu,32.73,74.87,75.2,53,0,3.56,IN,1602652535
Rajshahi,24.37,88.6,90.52,57,0,6.04,BD,1602652782
Athabasca,54.72,-113.29,29.28,88,100,6.2,CA,1602652783
Ossora,59.24,163.07,39.6,77,100,11.1,RU,1602652783
Parrita,9.52,-84.32,68.0,100,90,5.82,CR,1602652783
Half Moon Bay,37.46,-122.43,68.0,82,1,8.61,US,1602652783
Matara,5.95,80.54,84.54,69,100,18.05,LK,1602652784
Pabianice,51.66,19.35,46.4,93,75,10.29,PL,1602652784
Yaan,7.38,8.57,72.36,98,100,6.04,NG,1602652785
Forestville,38.85,-76.88,55.99,66,1,6.93,US,1602652785
Istria,44.57,28.72,50.0,71,75,8.05,RO,1602652785
Lábrea,-7.26,-64.8,70.63,92,99,2.19,BR,1602652785
Si Satchanalai,17.52,99.76,82.4,83,40,2.24,TH,1602652723
Dhārchula,29.85,80.53,79.57,21,0,5.55,IN,1602652786
Rawlins,41.79,-107.24,60.01,26,1,33.33,US,1602652786
Taoudenni,22.68,-3.98,82.69,21,0,1.83,ML,1602652786
Iracoubo,5.48,-53.2,80.62,79,4,11.45,GF,1602652786
Srednekolymsk,67.45,153.68,38.34,74,99,7.74,RU,1602652787
Bara,10.37,10.73,73.78,92,100,9.13,NG,1602652787
Līsakovsk,52.54,62.49,52.63,41,0,6.93,KZ,1602652787
Tchaourou,8.89,2.6,72.25,96,96,5.95,BJ,1602652787
Nikšić,42.77,18.94,51.8,93,40,3.87,ME,1602652788
Aksarka,66.56,67.8,34.56,84,84,7.78,RU,1602652788
Novy Urengoy,66.08,76.63,38.97,95,100,13.24,RU,1602652788
Kapit,2.02,112.93,94.28,51,58,1.97,MY,1602652788
Verkhniye Tatyshly,56.29,55.86,46.56,56,99,10.45,RU,1602652789
Kampot,10.62,104.18,82.4,78,75,14.99,KH,1602652789
Anadyr,64.75,177.48,32.0,89,40,4.47,RU,1602652789
Bemidji,47.47,-94.88,41.0,60,1,5.82,US,1602652789
Mahenge,-8.68,36.72,69.69,87,22,2.37,TZ,1602652789
Machinga,-15.17,35.3,71.53,75,3,2.06,MW,1602652790
Nānākuli,21.39,-158.15,82.4,54,1,5.82,US,1602652790
Itarema,-2.92,-39.92,77.88,79,25,15.9,BR,1602652790
Bundaberg,-24.85,152.35,78.01,44,78,21.92,AU,1602652790
Arman',59.7,150.17,41.34,81,100,5.14,RU,1602652791
Laguna,38.42,-121.42,72.0,59,1,3.02,US,1602652791
Wilmington,34.23,-77.94,70.0,88,75,3.36,US,1602652617
Worthington,40.09,-83.02,53.6,54,1,5.82,US,1602652643
Verkhnevilyuysk,63.45,120.32,24.37,86,98,7.58,RU,1602652791
Oranjemund,-28.55,16.43,59.04,75,0,8.99,NA,1602652792
Alekseyevsk,57.84,108.35,34.34,76,67,8.1,RU,1602652793
Hobyo,5.35,48.53,81.37,77,31,13.2,SO,1602652793
Belyy Yar,53.6,91.39,46.4,75,40,6.71,RU,1602652793
Bilibino,68.05,166.44,24.4,96,82,2.8,RU,1602652793
Yerbogachën,61.28,108.01,30.06,88,94,10.85,RU,1602652793
Pichayevo,53.24,42.2,52.11,62,79,6.96,RU,1602652794
Lorengau,-2.02,147.27,78.75,85,100,3.36,PG,1602652794
Erzin,36.96,36.2,73.0,79,20,0.63,TR,1602652794
Thoen,17.61,99.22,89.87,50,100,3.42,TH,1602652726
Nago,26.59,127.98,84.2,54,1,10.29,JP,1602652795
Vila Franca do Campo,37.72,-25.43,68.0,77,75,9.17,PT,1602652795
Imbituba,-28.24,-48.67,64.4,82,90,4.7,BR,1602652795
Nadvoitsy,63.87,34.32,41.09,92,90,5.79,RU,1602652795
Kamyshla,54.12,52.14,48.56,49,100,8.34,RU,1602652795
Murayama,38.52,140.33,66.2,68,75,12.75,JP,1602652796
Tūkrah,32.53,20.58,68.0,67,24,4.72,LY,1602652796
Nantucket,41.28,-70.1,63.81,97,79,15.95,US,1602652797
Wewak,-3.55,143.63,85.14,69,61,9.1,PG,1602652797
Marsá Maţrūḩ,31.35,27.25,69.8,60,0,7.58,EG,1602652797
Boguchany,58.38,97.45,34.93,86,100,5.66,RU,1602652797
San-Pédro,4.75,-6.64,73.54,93,64,3.15,CI,1602652797
Lakshmīpur,22.95,90.83,89.92,59,65,1.79,BD,1602652798
Te Anau,-45.42,167.72,42.28,68,26,8.12,NZ,1602652798
Moussoro,13.64,16.49,86.52,35,0,8.01,TD,1602652798
Saint-Estève,42.71,2.84,53.01,81,75,4.7,FR,1602652798
Pevek,69.7,170.31,31.8,87,99,14.7,RU,1602652799
Fershampenuaz,53.52,59.81,49.3,46,64,8.3,RU,1602652799
Terrace Bay,48.78,-87.1,43.92,65,19,14.07,CA,1602652799
Guajará,-2.97,-57.67,73.58,93,60,2.46,BR,1602652799
Yushu,44.8,126.53,39.83,61,0,12.21,CN,1602652547
Palana,59.12,159.97,39.4,80,100,7.36,RU,1602652800
Batangafo,7.3,18.28,69.71,92,37,3.24,CF,1602652800
Simplício Mendes,-7.85,-41.91,76.96,42,1,11.01,BR,1602652800
Uruçuí,-7.23,-44.56,78.4,33,31,2.62,BR,1602652800
Bystryy Istok,52.37,84.39,48.76,68,8,5.12,RU,1602652801
Juneau,58.3,-134.42,43.0,81,75,3.36,US,1602652801
Sur,22.57,59.53,85.77,39,0,21.9,OM,1602652801
Winslow,35.02,-110.7,51.8,17,1,5.82,US,1602652802
Timbiquí,2.77,-77.67,75.11,86,90,2.06,CO,1602652802
Puerto Madero,14.72,-92.42,81.54,81,97,5.17,MX,1602652803
Baghdad,33.34,44.4,81.03,15,0,8.99,IQ,1602652803
Mountain Home,43.13,-115.69,64.4,63,90,10.29,US,1602652803
Zhangaözen,43.3,52.8,59.18,28,0,17.02,KZ,1602652803
Jesup,31.61,-81.89,73.4,73,1,3.36,US,1602652803
Aberdeen,57.14,-2.1,52.0,81,75,10.29,GB,1602652716
Saryg-Sep,51.5,95.6,38.34,79,98,2.06,RU,1602652804
Labuhan,-6.88,112.21,91.69,47,43,9.1,ID,1602652804
Wisconsin Rapids,44.38,-89.82,44.6,65,1,5.82,US,1602652622
Española,35.99,-106.08,62.6,10,1,9.17,US,1602652805
Cortez,37.35,-108.59,46.99,35,1,4.7,US,1602652805
Aswān,24.09,32.91,82.27,23,0,9.66,EG,1602652806
Salinas,36.68,-121.66,66.2,63,1,5.82,US,1602652806
Herat Province,34.5,62.0,57.2,24,0,6.29,AF,1602652806
Muroran,42.32,140.99,59.0,58,75,18.34,JP,1602652806
Onverwacht,5.58,-55.18,81.0,94,3,1.99,SR,1602652807
Barquisimeto,10.07,-69.32,69.73,91,86,2.53,VE,1602652807
Gamba,-2.65,10.0,75.04,84,90,4.61,GA,1602652807
Zyryanovsk,49.74,84.27,44.29,63,97,3.71,KZ,1602652807
Porto-Novo,6.5,2.6,80.6,83,40,10.29,BJ,1602652808
Brae,60.4,-1.35,44.6,87,55,10.29,GB,1602652808
Marathon,44.9,-89.77,46.0,69,2,7.52,US,1602652808
Ketchikan,55.34,-131.65,41.0,93,40,3.36,US,1602652808
Gurupá,-1.41,-51.64,73.02,93,12,4.41,BR,1602652808
Gorom-Gorom,14.44,-0.24,86.4,25,26,5.26,BF,1602652809
Staroutkinsk,57.23,59.33,47.07,75,100,10.2,RU,1602652809
Kutoarjo,-7.72,109.91,91.0,53,40,9.4,ID,1602652809
Brewster,41.4,-73.62,52.0,81,1,4.7,US,1602652809
Çorum Province,40.5,34.75,61.09,37,0,3.56,TR,1602652810
Qaqortoq,60.72,-46.03,37.4,97,96,1.12,GL,1602652810
Qingdao,36.1,120.37,61.0,82,90,8.95,CN,1602652591
Emerald,-23.53,148.17,80.6,36,90,13.87,AU,1602652796
Zelenoborskiy,66.84,32.36,33.84,91,27,3.29,RU,1602652810
Vredendal,-31.67,18.5,60.73,57,0,2.17,ZA,1602652811
San Mateo del Mar,16.2,-95.0,84.49,67,89,27.02,MX,1602652811
Kuzovatovo,53.55,47.69,50.9,45,100,8.05,RU,1602652811
Gwadar,25.12,62.33,81.28,23,0,19.48,PK,1602652811
Taber,49.82,-112.15,44.6,65,40,19.46,CA,1602652812
Tianpeng,30.99,103.94,62.6,77,40,2.24,CN,1602652629
Lodeynoye Pole,60.73,33.55,42.22,92,89,1.41,RU,1602652812
Quimbaya,4.62,-75.76,59.11,91,88,2.8,CO,1602652812
Nishihara,26.18,127.76,84.2,61,20,17.22,JP,1602652813
Cayenne,4.93,-52.33,75.2,100,20,10.96,GF,1602652564
Waterloo,43.47,-80.52,52.0,81,75,6.93,CA,1602652813
Bairiki Village,1.33,172.98,86.0,62,40,14.99,KI,1602652813
Rome,43.21,-75.46,45.0,93,90,3.85,US,1602652587
Nelson Bay,-32.72,152.15,72.0,64,20,16.11,AU,1602652814
Kitimat,54.05,-128.65,46.0,93,100,3.0,CA,1602652814
Ust-Tsilma,65.44,52.15,33.71,89,40,5.73,RU,1602652814
Stupava,48.27,17.03,44.6,87,90,16.11,SK,1602652814
La Libertad,-2.23,-80.9,69.03,87,100,8.5,EC,1602652815
Caniço,32.63,-16.85,69.8,73,75,9.17,PT,1602652815
Sawtell,-30.38,153.1,71.6,60,0,10.29,AU,1602652815
Mayya,61.73,130.28,21.2,73,75,20.13,RU,1602652815
Colorines,19.2,-100.17,61.0,87,75,6.31,MX,1602652816
George,-33.96,22.46,50.0,87,4,3.36,ZA,1602652816
Honningsvåg,70.98,25.97,41.0,75,75,14.99,NO,1602652816
Yar-Sale,66.83,70.83,34.0,85,90,14.67,RU,1602652816
Devils Lake,48.11,-98.87,48.2,47,90,6.93,US,1602652816
Qasigiannguit,68.82,-51.19,33.8,74,0,4.7,GL,1602652817
Abhā,18.22,42.51,57.2,37,0,3.15,SA,1602652546
Xai-Xai,-25.05,33.64,69.15,75,61,16.71,MZ,1602652785
Fort Madison,40.63,-91.32,50.0,61,1,4.27,US,1602652817
Klyuchi,52.27,79.17,52.84,51,83,11.36,RU,1602652818
Boa Vista,2.82,-60.67,80.6,78,31,3.36,BR,1602652818
Sambava,-14.27,50.17,77.81,65,4,7.45,MG,1602652818
San Carlos,9.66,-68.58,71.94,86,58,2.37,VE,1602652818
Baillif,16.02,-61.75,75.2,100,23,7.09,GP,1602652818
Kumluca,36.37,30.29,71.01,64,1,3.22,TR,1602652819
Ada,43.42,-116.13,61.0,67,90,5.82,US,1602652819
Launceston,-41.45,147.17,61.0,41,75,19.46,AU,1602652725
Marigot,18.07,-63.08,80.01,88,20,8.05,MF,1602652820
